Value,Count,class,class_2006,class_2010,mapped_med,mapped_min,mapped_max,mapped_ci,estima_med,estima_min,estima_max,estima_ci,total_med,total_min,total_max,total_ci,soil_med,soil_min,soil_max,soil_ci,bmass_med,bmass_min,bmass_max,bmass_ci,ch4_med,ch4_min,ch4_max,ch4_ci
369,5731,Palustrine Emergent Wetland to Unconsolidated Shore,Palustrine Emergent Wetland,Unconsolidated Shore,3598,3564,3632,68,4598.57117,3911.512682,5421.696727,687.0584883,-14.81027792,-24.79697545,-7.330842817,17.46613263,-14.40296602,-24.32148819,-6.920895945,17.40059225,-0.132790144,-0.157346738,-0.112169167,0.045177572,-0.258348969,-0.629015842,-0.105093584,0.523922258
370,10497,Palustrine Emergent Wetland to Bare Land,Palustrine Emergent Wetland,Bare Land,5488,5429,5547,118,10562.73535,9006.061032,12348.95056,1556.674317,-0.245217161,-0.800196102,-0.002871153,0.797324949,0.343456981,0.268174349,0.437912145,0.169737796,-0.200081554,-0.235568449,-0.169460367,0.066108082,-0.387142387,-0.948606825,-0.157359163,0.791247662
371,130138,Palustrine Emergent Wetland to Water,Palustrine Emergent Wetland,Water,102452,102239.975,102667,427.025,137973.1031,127057.1964,149365.3617,10915.90671,-15.64034318,-25.48396591,-7.8977771,17.58618881,-15.21493008,-25.04199856,-7.454431217,17.58756735,-0.13984466,-0.153531127,-0.12701493,0.026516196,-0.271182038,-0.658802857,-0.11151833,0.547284527
372,5231,Palustrine Emergent Wetland to Palustrine Aquatic Bed,Palustrine Emergent Wetland,Palustrine Aquatic Bed,4614,4576,4652,76,9442.277096,4821.009788,15928.99071,4621.267309,-22.99305447,-50.19028804,-8.994970324,41.19531772,-22.32599599,-49.22950388,-8.617106528,40.61239735,-0.211971501,-0.358650734,-0.109463118,0.249187616,-0.405560782,-1.146605491,-0.14051883,1.006086661
373,339,Palustrine Emergent Wetland to Estuarine Aquatic Bed,Palustrine Emergent Wetland,Estuarine Aquatic Bed,318,314,323,9,497.3985623,363.342565,784.9709606,134.0559973,-17.62175499,-35.637698,-7.99124424,27.64645376,-17.12200157,-34.9230481,-7.538450636,27.38459746,-0.161860326,-0.256848232,-0.117669129,0.139179103,-0.310115952,-0.830555205,-0.118573985,0.71198122
377,119,Estuarine Forested Wetland to High Intensity Developed,Estuarine Forested Wetland,High Intensity Developed,119,119,119,0,192.8425804,172.8059925,215.1877776,20.03658795,-29.97843897,-42.58411448,-19.89298625,22.69112822,-18.28273998,-30.35278202,-8.951080619,21.4017014,-11.33427455,-14.30690455,-9.019831812,5.28707274,-0.211158618,-0.357622139,-0.069506604,0.288115536
378,371,Estuarine Forested Wetland to Medium Intensity Developed,Estuarine Forested Wetland,Medium Intensity Developed,371,371,371,0,471.215792,422.7404002,524.4772049,48.4753918,-23.36629064,-33.49674607,-15.61085207,17.88589399,-14.28242225,-23.81329113,-7.0200219,16.79326923,-8.88069354,-11.19793798,-7.123980781,4.073957204,-0.165597946,-0.280117045,-0.05493277,0.225184275
379,676,Estuarine Forested Wetland to Low Intensity Developed,Estuarine Forested Wetland,Low Intensity Developed,676,676,676,0,812.2881644,734.2036024,899.1262815,78.08456199,-22.18418586,-31.51483389,-14.77586101,16.73897288,-13.53729369,-22.45167475,-6.654514476,15.79716028,-8.41715136,-10.61010078,-6.745327048,3.864773732,-0.157034347,-0.264204094,-0.052220637,0.211983457
380,122,Estuarine Forested Wetland to Developed Open Space,Estuarine Forested Wetland,Developed Open Space,122,122,122,0,243.7438715,213.0022079,278.1949469,30.74166356,-36.75146188,-53.23979593,-24.30651851,28.93327742,-22.52600913,-37.7535733,-10.92257006,26.83100323,-13.96710437,-17.90763963,-10.99781175,6.90982788,-0.260761719,-0.443101044,-0.087779606,0.355321438
383,107,Estuarine Forested Wetland to Grassland,Estuarine Forested Wetland,Grassland,107,107,107,0,167.252036,151.4234714,184.5881179,15.82856466,-10.70292452,-13.56052889,-8.532963818,5.027565069,0.279120811,0.225352883,0.344351759,0.118998876,-10.77892332,-13.62570798,-8.610157672,5.015550309,-0.203919871,-0.344883143,-0.066802817,0.278080326
385,12291,Estuarine Forested Wetland to Evergreen Forest,Estuarine Forested Wetland,Evergreen Forest,12291,12291,12291,0,17185.46448,15778.8597,18643.53231,1406.60478,0.068413955,-0.062478886,0.198629265,0.261108151,0.249314678,0.203294114,0.305803482,0.102509367,0,0,0,0,-0.182516777,-0.305606154,-0.060347178,0.245258975
387,190,Estuarine Forested Wetland to Scrub/Shrub,Estuarine Forested Wetland,Scrub/Shrub,190,190,190,0,239.7658281,217.7648665,262.9995061,22.00096152,-7.883233801,-10.22251468,-5.917329608,4.305185073,0.225018727,0.182599443,0.278226973,0.095627531,-7.937009748,-10.28914568,-5.996151207,4.292994476,-0.164964789,-0.277190991,-0.054228525,0.222962466
389,1,Estuarine Forested Wetland to Palustrine Scrub/Shrub Wetland,Estuarine Forested Wetland,Palustrine Scrub/Shrub Wetland,1,1,1,0,1.405990432,1.250288471,1.573847437,0.155701961,-8.824556616,-11.5360092,-6.56209411,4.97391509,0.50140385,0.40207591,0.622284624,0.220208714,-8.842902747,-11.52458396,-6.592747557,4.931836404,-0.471377551,-0.891530256,-0.250086791,0.641443466
390,2,Estuarine Forested Wetland to Palustrine Emergent Wetland,Estuarine Forested Wetland,Palustrine Emergent Wetland,2,2,2,0,3.118254106,2.772735265,3.514397895,0.345518841,-10.75170715,-13.72130826,-8.481268879,5.240039379,0.556180884,0.445310483,0.696595432,0.251284948,-10.75358012,-13.69729022,-8.51797351,5.17931671,-0.523755546,-0.984545244,-0.277779983,0.706765261
391,2201959,Estuarine Forested Wetland to Estuarine Forested Wetland,Estuarine Forested Wetland,Estuarine Forested Wetland,2201959,2201959,2201959,0,2170896.529,2161497.095,2179968.448,9399.433817,0.096769654,-0.089368803,0.278935216,0.368304018,0.351943315,0.291123566,0.42517116,0.134047594,0,0,0,0,-0.257541158,-0.429141885,-0.085912062,0.343229822
392,3736,Estuarine Forested Wetland to Estuarine Scrub/Shrub Wetland,Estuarine Forested Wetland,Estuarine Scrub/Shrub Wetland,3736,3736,3736,0,4146.197886,3036.778869,5729.889069,1109.419017,-6.879178899,-10.3182034,-4.581245633,5.736957772,0.396793979,0.275523122,0.575462274,0.299939152,-6.984828622,-10.43366711,-4.694553901,5.73911321,-0.286545739,-0.542224647,-0.093675178,0.44854947
393,14982,Estuarine Forested Wetland to Estuarine Emergent Wetland,Estuarine Forested Wetland,Estuarine Emergent Wetland,14982,14982,14982,0,19930.91883,17923.43108,22221.82652,2007.487747,-9.039287283,-11.49706384,-7.142559888,4.354503953,0.47437901,0.382568749,0.590176134,0.207607385,-9.174685546,-11.63028658,-7.29670546,4.33358112,-0.348214327,-0.585702547,-0.113967594,0.471734953
394,6,Estuarine Forested Wetland to Unconsolidated Shore,Estuarine Forested Wetland,Unconsolidated Shore,6,6,6,0,7.671795312,6.526329105,9.030885433,1.145466207,-23.51632346,-34.41933222,-15.42374121,18.99559101,-14.40296602,-24.32148819,-6.920895945,17.40059225,-8.955062687,-11.64815325,-6.907198357,4.740954896,-0.165965681,-0.286267922,-0.054855105,0.231412817
395,322,Estuarine Forested Wetland to Bare Land,Estuarine Forested Wetland,Bare Land,322,322,322,0,619.8255445,528.7249156,724.5821057,91.10062886,-13.36762335,-17.35531765,-10.31910111,7.036216548,0.343456981,0.268174349,0.437912145,0.169737796,-13.46668021,-17.45797748,-10.4188449,7.039132581,-0.251043864,-0.429274955,-0.083244275,0.34603068
396,5888,Estuarine Forested Wetland to Water,Estuarine Forested Wetland,Water,5888,5888,5888,0,7929.47424,7305.330216,8581.786776,624.1440243,-24.82532478,-35.11356145,-16.67440671,18.43915474,-15.21493008,-25.04199856,-7.454431217,17.58756735,-9.421019889,-11.74763701,-7.599846608,4.147790403,-0.175970535,-0.295015925,-0.057742416,0.237273508
398,8,Estuarine Forested Wetland to Estuarine Aquatic Bed,Estuarine Forested Wetland,Estuarine Aquatic Bed,8,8,8,0,12.48767593,9.135762342,19.6875257,3.351913592,-28.11438959,-50.98003215,-16.20350979,34.77652236,-17.12200157,-34.9230481,-7.538450636,27.38459746,-10.74993764,-17.97052029,-7.286730456,10.68378984,-0.198755154,-0.40564498,-0.063349797,0.342295183
402,60,Estuarine Scrub/Shrub Wetland to High Intensity Developed,Estuarine Scrub/Shrub Wetland,High Intensity Developed,60,60,60,0,97.23155316,87.12907184,108.4980391,10.10248132,-19.70889174,-31.88971517,-10.16961379,21.72010138,-18.28273998,-30.35278202,-8.951080619,21.4017014,-1.068467384,-2.467780198,-0.463851634,2.003928564,-0.211158618,-0.357622139,-0.069506604,0.288115536
403,261,Estuarine Scrub/Shrub Wetland to Medium Intensity Developed,Estuarine Scrub/Shrub Wetland,Medium Intensity Developed,261,261,261,0,331.5022149,297.3995807,368.9718342,34.10263412,-15.37995056,-25.01865681,-7.992577586,17.02607923,-14.28242225,-23.81329113,-7.0200219,16.79326923,-0.835724624,-1.915893334,-0.364891561,1.551001773,-0.165597946,-0.280117045,-0.05493277,0.225184275
404,628,Estuarine Scrub/Shrub Wetland to Low Intensity Developed,Estuarine Scrub/Shrub Wetland,Low Intensity Developed,628,628,628,0,754.6108983,682.0708022,835.2829952,72.54009605,-14.56070752,-23.61034235,-7.580890147,16.0294522,-13.53729369,-22.45167475,-6.654514476,15.79716028,-0.791289834,-1.834425998,-0.345627831,1.488798167,-0.157034347,-0.264204094,-0.052220637,0.211983457
405,517,Estuarine Scrub/Shrub Wetland to Developed Open Space,Estuarine Scrub/Shrub Wetland,Developed Open Space,517,517,517,0,1032.914603,902.6405039,1178.908095,130.2740989,-24.2515064,-39.5542899,-12.45448697,27.09980293,-22.52600913,-37.7535733,-10.92257006,26.83100323,-1.316007067,-3.032275177,-0.571808233,2.460466944,-0.260761719,-0.443101044,-0.087779606,0.355321438
406,6,Estuarine Scrub/Shrub Wetland to Cultivated,Estuarine Scrub/Shrub Wetland,Cultivated,6,6,6,0,7.687255692,7.040551949,8.390450417,0.646703743,-15.43364651,-24.89373057,-7.936431684,16.95729889,-14.47991228,-23.80873511,-7.095500538,16.71323457,-0.710702303,-1.812100131,-0.236250733,1.575849398,-0.167218844,-0.280944208,-0.055361081,0.225583128
407,1,Estuarine Scrub/Shrub Wetland to Pasture/Hay,Estuarine Scrub/Shrub Wetland,Pasture/Hay,1,1,1,0,1.162110412,1.048526344,1.283082486,0.113584068,-13.97461143,-22.63584216,-7.224366634,15.41147553,-13.1023894,-21.64261134,-6.395082101,15.24752924,-0.643095636,-1.651845965,-0.215063037,1.436782928,-0.151560367,-0.255131543,-0.050125066,0.205006477
408,46,Estuarine Scrub/Shrub Wetland to Grassland,Estuarine Scrub/Shrub Wetland,Grassland,46,46,46,0,71.90274446,65.09794096,79.35563947,6.804803497,-0.794591404,-2.160889374,-0.185755088,1.975134286,0.279120811,0.225352883,0.344351759,0.118998876,-0.86591893,-2.219795251,-0.288842428,1.930952823,-0.203919871,-0.344883143,-0.066802817,0.278080326
410,139,Estuarine Scrub/Shrub Wetland to Evergreen Forest,Estuarine Scrub/Shrub Wetland,Evergreen Forest,139,139,139,0,194.3519292,178.4445121,210.8413466,15.90741716,8.868545158,6.719923139,11.38535398,4.66543084,0.249314678,0.203294114,0.305803482,0.102509367,8.799091962,6.640384812,11.30575958,4.66537477,-0.182516777,-0.305606154,-0.060347178,0.245258975
412,23133,Estuarine Scrub/Shrub Wetland to Scrub/Shrub,Estuarine Scrub/Shrub Wetland,Scrub/Shrub,23133,23133,23133,0,29192.12053,26513.44557,32020.88197,2678.674963,0.061756816,-0.057500409,0.17943593,0.236936339,0.225018727,0.182599443,0.278226973,0.095627531,0,0,0,0,-0.164964789,-0.277190991,-0.054228525,0.222962466
413,16,Estuarine Scrub/Shrub Wetland to Palustrine Forested Wetland,Estuarine Scrub/Shrub Wetland,Palustrine Forested Wetland,16,16,16,0,21.66675477,19.90558859,23.61382098,1.761166174,8.532040156,6.447128436,11.04955444,4.602426005,0.483025475,0.393750575,0.594057444,0.200306868,8.531354964,6.467197046,10.99416768,4.526970631,-0.455741866,-0.853572884,-0.243071914,0.61050097
414,7,Estuarine Scrub/Shrub Wetland to Palustrine Scrub/Shrub Wetland,Estuarine Scrub/Shrub Wetland,Palustrine Scrub/Shrub Wetland,7,7,7,0,9.841933023,8.752019299,11.01693206,1.089913725,0.027862166,-0.390323518,0.272604416,0.662927934,0.50140385,0.40207591,0.622284624,0.220208714,0,0,0,0,-0.471377551,-0.891530256,-0.250086791,0.641443466
415,6,Estuarine Scrub/Shrub Wetland to Palustrine Emergent Wetland,Estuarine Scrub/Shrub Wetland,Palustrine Emergent Wetland,6,6,6,0,9.354762318,8.318205796,10.54319369,1.036556522,-0.866504038,-2.282006139,-0.164193839,2.117812299,0.556180884,0.445310483,0.696595432,0.251284948,-0.864107085,-2.214559241,-0.288513986,1.926045255,-0.523755546,-0.984545244,-0.277779983,0.706765261
416,1852,Estuarine Scrub/Shrub Wetland to Estuarine Forested Wetland,Estuarine Scrub/Shrub Wetland,Estuarine Forested Wetland,1852,1852,1852,0,2411.943342,2072.147247,2675.30653,339.7960953,8.257117304,6.190923752,10.74833569,4.557411935,0.461838627,0.365926821,0.577140673,0.211213853,8.138170914,6.066274163,10.58132065,4.515046487,-0.336968424,-0.570083047,-0.111221723,0.458861323
417,1111724,Estuarine Scrub/Shrub Wetland to Estuarine Scrub/Shrub Wetland,Estuarine Scrub/Shrub Wetland,Estuarine Scrub/Shrub Wetland,1111724,1111724,1111724,0,1096041.195,1091295.613,1100621.421,4745.581621,0.096769654,-0.089368803,0.278935216,0.368304018,0.351943315,0.291123566,0.42517116,0.134047594,0,0,0,0,-0.257541158,-0.429141885,-0.085912062,0.343229822
418,7381,Estuarine Scrub/Shrub Wetland to Estuarine Emergent Wetland,Estuarine Scrub/Shrub Wetland,Estuarine Emergent Wetland,7381,7381,7381,0,9819.12374,8830.11913,10947.75741,989.0046096,-0.620146201,-1.7750195,-0.036252108,1.738767392,0.47437901,0.382568749,0.590176134,0.207607385,-0.737249371,-1.863325499,-0.244951906,1.618373593,-0.348214327,-0.585702547,-0.113967594,0.471734953
419,310,Estuarine Scrub/Shrub Wetland to Unconsolidated Shore,Estuarine Scrub/Shrub Wetland,Unconsolidated Shore,310,310,310,0,396.3760911,337.1936704,466.5957474,59.18242068,-15.48432376,-25.54135954,-7.931757964,17.60960158,-14.40296602,-24.32148819,-6.920895945,17.40059225,-0.843433213,-1.978834816,-0.365719389,1.613115428,-0.165965681,-0.286267922,-0.054855105,0.231412817
420,726,Estuarine Scrub/Shrub Wetland to Bare Land,Estuarine Scrub/Shrub Wetland,Bare Land,726,726,726,0,1397.494861,1192.094064,1633.68512,205.4007968,-1.177669066,-2.87881301,-0.424042488,2.454770521,0.343456981,0.268174349,0.437912145,0.169737796,-1.267969545,-2.960740684,-0.548460501,2.412280183,-0.251043864,-0.429274955,-0.083244275,0.34603068
421,1624,Estuarine Scrub/Shrub Wetland to Water,Estuarine Scrub/Shrub Wetland,Water,1624,1624,1624,0,2187.069661,2014.921242,2366.987385,172.1484197,-16.34040753,-26.22679843,-8.512950631,17.7138478,-15.21493008,-25.04199856,-7.454431217,17.58756735,-0.887765039,-2.041365943,-0.388239819,1.653126124,-0.175970535,-0.295015925,-0.057742416,0.237273508
423,62,Estuarine Scrub/Shrub Wetland to Estuarine Aquatic Bed,Estuarine Scrub/Shrub Wetland,Estuarine Aquatic Bed,62,62,62,0,96.77948849,70.80215815,152.5783242,25.97733034,-18.43962297,-36.7636533,-8.534856753,28.22879655,-17.12200157,-34.9230481,-7.538450636,27.38459746,-1.017790759,-2.581282686,-0.403544304,2.177738381,-0.198755154,-0.40564498,-0.063349797,0.342295183
427,2006,Estuarine Emergent Wetland to High Intensity Developed,Estuarine Emergent Wetland,High Intensity Developed,2006,2006,2006,0,3250.774927,2913.015302,3627.451109,337.7596255,-18.65611375,-30.7656468,-9.299202941,21.46644386,-18.28273998,-30.35278202,-8.951080619,21.4017014,-0.168313283,-0.189860614,-0.149460115,0.040400498,-0.211158618,-0.357622139,-0.069506604,0.288115536
428,3893,Estuarine Emergent Wetland to Medium Intensity Developed,Estuarine Emergent Wetland,Medium Intensity Developed,3893,3893,3893,0,4944.590507,4435.925547,5503.476439,508.6649603,-14.58105693,-24.14832146,-7.309919396,16.83840207,-14.28242225,-23.81329113,-7.0200219,16.79326923,-0.131920932,-0.148834986,-0.117198738,0.031636248,-0.165597946,-0.280117045,-0.05493277,0.225184275
429,6362,Estuarine Emergent Wetland to Low Intensity Developed,Estuarine Emergent Wetland,Low Intensity Developed,6362,6362,6362,0,7644.640979,6909.768223,8461.895566,734.8727565,-13.83274492,-22.74256718,-6.938557983,15.8040092,-13.53729369,-22.45167475,-6.654514476,15.79716028,-0.124909681,-0.140047495,-0.111473175,0.02857432,-0.157034347,-0.264204094,-0.052220637,0.211983457
430,6182,Estuarine Emergent Wetland to Developed Open Space,Estuarine Emergent Wetland,Developed Open Space,6182,6182,6182,0,12351.02142,10793.27581,14096.73084,1557.745608,-22.99310265,-38.25067148,-11.32979401,26.92087748,-22.52600913,-37.7535733,-10.92257006,26.83100323,-0.207356998,-0.239380254,-0.179588691,0.059791563,-0.260761719,-0.443101044,-0.087779606,0.355321438
431,809,Estuarine Emergent Wetland to Cultivated,Estuarine Emergent Wetland,Cultivated,809,809,809,0,1036.498309,949.3010877,1131.312398,87.19722138,-14.65358193,-23.9723053,-7.2557407,16.7165646,-14.47991228,-23.80873511,-7.095500538,16.71323457,0,0,0,0,-0.167218844,-0.280944208,-0.055361081,0.225583128
432,59,Estuarine Emergent Wetland to Pasture/Hay,Estuarine Emergent Wetland,Pasture/Hay,59,59,59,0,68.56451428,61.86305428,75.70186667,6.701460002,-13.25245923,-21.80375616,-6.538123801,15.26563236,-13.1023894,-21.64261134,-6.395082101,15.24752924,0,0,0,0,-0.151560367,-0.255131543,-0.050125066,0.205006477
433,1785,Estuarine Emergent Wetland to Grassland,Estuarine Emergent Wetland,Grassland,1785,1785,1785,0,2790.139106,2526.083144,3079.343836,264.0559618,0.076661867,-0.070045068,0.222057388,0.292102456,0.279120811,0.225352883,0.344351759,0.118998876,0,0,0,0,-0.203919871,-0.344883143,-0.066802817,0.278080326
